Index,CountryCode,Country,CityCode,UrbanAgglomeration,Note,Latitude,Longitude,a1950,a1960,a1970,a1980,a1990,a2000,a2010,a2015,a2020,a2030,a2035,r1950,r1960,r1970,r1980,r1990,r2000,r2010,r2015,r2020,r2030,r2035,nr1950,nr1960,nr1970,nr1980,nr1990,nr2000,nr2010,nr2015,nr2020,nr2030,nr2035
1,4,Afghanistan,20001,Herat,,34.34817,62.19967,82.468,89.166,101.576,143.859,183.465,233.991,358.691,466.703,605.575,897.041,1057.573,866,1038,1190,1239,1373,1548,1320,1141,978,787,719,2,3,3,3,3,3,3,2,2,2,2
2,4,Afghanistan,20002,Kabul,,34.528887,69.17246,170.784,285.352,471.891,977.824,1549.32,2401.109,3289.005,3723.543,4221.532,5737.138,6760.5,508,442,359,206,160,127,111,107,105,87,82,1,1,1,1,1,1,1,1,1,1,1
3,4,Afghanistan,20003,Kandahar,,31.61332,65.71013,82.199,98.074,127.164,182.904,233.243,297.456,383.498,436.741,498.002,679.278,800.461,868,989,1058,1085,1175,1287,1233,1217,1211,1032,959,3,2,2,2,2,2,2,3,4,4,4
4,4,Afghanistan,20004,Mazar-e Sharif,,36.70904,67.11087,30,45.979,70.46,105.977,135.153,172.372,283.532,389.483,532.689,816.04,962.262,1311,1339,1362,1415,1549,1749,1674,1358,1123,869,789,4,4,4,4,4,4,4,4,3,3,3
5,8,Albania,20005,Tiranë (Tirana),,41.3275,19.81889,84.513,134.761,156.734,193.644,247.27,335.336,408.697,449.298,493.712,565.301,581.626,849,798,938,1052,1127,1136,1157,1182,1219,1269,1310,1,1,1,1,1,1,1,1,1,1,1
6,12,Algeria,20009,Annaba,,36.9,7.76667,99.741,135.95,192.064,266.91,312.885,333.805,345.278,351.158,358.241,410.307,439.473,771,790,819,831,928,1143,1375,1499,1629,1655,1632,3,4,4,4,4,4,5,6,6,6,6
7,12,Algeria,20011,Batna,,35.55597,6.17414,13.046,32.794,70.787,124.347,197.568,249.379,286.372,306.88,329.333,389.593,417.363,1532,1453,1360,1321,1310,1500,1665,1733,1777,1708,1686,7,7,7,7,5,6,7,7,7,7,7
8,12,Algeria,20015,Blida,,36.480781,2.831943,33.97,62.269,104.497,146.825,190.852,264.604,353.834,409.179,472.733,586.199,628.153,1250,1206,1172,1226,1340,1441,1335,1300,1263,1225,1216,6,6,5,5,6,5,4,4,4,4,4
9,12,Algeria,20006,El Djazaïr  (Algiers),1,36.7525,3.04197,516.45,871.636,1281.127,1621.442,1797.068,2140.577,2432.023,2592.33,2767.661,3263.293,3495.835,164,125,110,114,127,149,166,174,186,186,183,1,1,1,1,1,1,1,1,1,1,1
10,12,Algeria,20020,El Djelfa,,34.67279,3.263,10.45,18.448,32.563,57.488,101.274,176.441,298.71,388.677,503.397,671.455,719.812,1573,1595,1612,1628,1672,1735,1602,1361,1197,1050,1053,8,8,8,8,8,8,6,5,3,3,3
11,12,Algeria,20019,Qacentina,,36.354921,6.607293,88.001,168.811,280.65,375.749,453.758,472.556,441.286,426.43,414.011,459.425,491.992,834,679,579,596,642,814,1080,1245,1428,1515,1498,4,3,3,3,3,3,3,3,5,5,5
12,12,Algeria,20037,Sétif,,36.19112,5.41373,41.289,66.846,102.559,142.093,181.397,219.584,262.221,286.552,313.401,375.258,402.034,1174,1170,1182,1253,1385,1605,1743,1824,1843,1748,1711,5,5,6,6,7,7,8,8,8,8,8
13,12,Algeria,20035,Wahran (Oran),,35.69111,-0.64167,268.935,304.936,385.189,536.561,657.905,748.693,819.588,857.521,899.182,1048.089,1122.702,343,412,435,412,417,491,563,598,651,679,674,2,2,2,2,2,2,2,2,2,2,2
